Product URL,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/Zipline-Nexa-Resistant-Bagpack-Backpack/dp/B08WQ668WJ/ref=mp_s_a_1_46?crid=2M096C61O4MLT&keywords=bags&qid=1692733959&sprefix=ba%2Caps%2C283&sr=8-46,Zipline Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag,843,3.6,0
https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B26MB5M/ref=mp_s_a_1_47?crid=2M096C61O4MLT&keywords=bags&qid=1692733959&sprefix=ba%2Caps%2C283&sr=8-47,"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",609,3.8,0
https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XG77KN/ref=mp_s_a_1_48?crid=2M096C61O4MLT&keywords=bags&qid=1692733959&sprefix=ba%2Caps%2C283&sr=8-48,"Mi Step Out 12 L Mini Backpack (Small Size, Red, Water Repellant)",398,4.1,0
https://www.amazon.in/Motherly-Stylish-Babies-Diaper-Mothers/dp/B07DMKJJB4/ref=mp_s_a_1_49?crid=2M096C61O4MLT&keywords=bags&qid=1692733959&sprefix=ba%2Caps%2C283&sr=8-49,motherly Stylish Babies Diaper Bags for Mothers - Economical Version (Grey and Pink),"1,799",4.6,0
https://www.amazon.in/Uppercase-Professional-Backpack-Resistant-Sustainable/dp/B0BWNBQXDZ/ref=mp_s_a_1_50?crid=2M096C61O4MLT&keywords=bags&qid=1692733959&sprefix=ba%2Caps%2C283&sr=8-50,"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,800",4.4,0
https://www.amazon.in/Fur-Jaden-Charging-Waterproof-BM36_BlueZip/dp/B07MXM5M99/ref=mp_s_a_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1692733959&sprefix=ba%2Caps%2C283&sr=8-51,"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",479,3.9,0
https://www.amazon.in/Genie-Miami-litres-Casual-Backpack/dp/B07SRGGGNC/ref=mp_s_a_1_52?crid=2M096C61O4MLT&keywords=bags&qid=1692733959&sprefix=ba%2Caps%2C283&sr=8-52,"Genie Miami Laptop Backpack for Women,Tuition bag, 16 inches Office Bag, Sky Blue Stylish and Trendy Bag for Office and College",803,4.2,0
https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B277CR5/ref=mp_s_a_1_53?crid=2M096C61O4MLT&keywords=bags&qid=1692733959&sprefix=ba%2Caps%2C283&sr=8-53,"Safari Spartan 21 Ltrs Water Resistant Backpack - Teal, S (SPARTAN19CBTEA)",609,3.8,0
https://www.amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMR33Q/ref=mp_s_a_1_54?crid=2M096C61O4MLT&keywords=bags&qid=1692733959&sprefix=ba%2Caps%2C283&sr=8-54,Zipline Unisex casual polyester 36 L Backpack School Bag Women Men Boys Girls children Daypack College Bag Book School Sports Bag Weekend Bag,843,4.0,0
https://www.amazon.in/Half-Moon-Backpack-Spacious-Multiple/dp/B0C23Z9W18/ref=mp_s_a_1_55?crid=2M096C61O4MLT&keywords=bags&qid=1692733959&sprefix=ba%2Caps%2C283&sr=8-55,Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,649,3.6,0
https://www.amazon.in/DZert-Panda-School-Backpacks-Cartoon/dp/B07WSBV3BN/ref=mp_s_a_1_56?crid=2M096C61O4MLT&keywords=bags&qid=1692733959&sprefix=ba%2Caps%2C283&sr=8-56,DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),249,3.7,0
https://www.amazon.in/Tabelito%C2%AE-Basic-Laptop-Sleeve-Surfacepro/dp/B09NDTW8SP/ref=mp_s_a_1_57?crid=2M096C61O4MLT&keywords=bags&qid=1692733982&sprefix=ba%2Caps%2C283&sr=8-57,Tabelito® Basic Laptop Bag Laptop Cover Laptop Bags Laptop Sleeve Office Bag Laptop Bag 15.6 inch(39.6cm) Laptop Apple/Lenovo/Asus/Hp/MacBook/Thinkpad/Ideapad (Grey),299,4.1,0
https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3S5NC1/ref=mp_s_a_1_58?crid=2M096C61O4MLT&keywords=bags&qid=1692733982&sprefix=ba%2Caps%2C283&sr=8-58,NORTH ZONE Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office,630,4.0,0
